"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"1","FLD0001",78,34962,26310,25618,25661,24994,22295,63.7692351696127,0.349854227405248
"2","FLD0002",30,29823,23415,23150,22992,22112,21154,70.9318311370419,0.141817150420724
"3","FLD0004",186,28763,23617,22571,22497,17271,7075,24.5975732712165,2.62897526501767
"4","FLD0005",110,29893,23913,23311,23361,20358,11000,36.7979125547787,1
"5","FLD0006",212,25889,20872,19722,19420,13830,4746,18.3321101626173,4.4669195111673
"6","FLD0007",192,23303,18628,17345,17205,11629,4657,19.9845513453203,4.12282585355379
"7","FLD0008",210,25432,20618,19649,19367,14594,5703,22.4245045611828,3.68227248816412
"8","FLD0009",142,42614,35400,34752,34871,32207,16775,39.3649974186887,0.846497764530551
"9","FLD0010",38,12930,9057,8703,8713,7438,6222,48.1206496519722,0.610736097717776
"10","FLD0011",0,2,1,1,1,0,0,0,NA
"11","FLD0012",285,39131,31628,29993,29525,21477,7833,20.0173775267691,3.6384527001149
"12","FLD0013",204,31108,24971,23963,23750,18116,7291,23.4377009129484,2.79797010012344
"13","FLD0014",278,33734,26791,25481,25107,18352,6573,19.4847927906563,4.22942339875247
"14","FLD0015",41,43360,34872,34710,34678,34038,25553,58.9321955719557,0.160450827691465
"15","FLD0016",102,28731,23880,23425,23442,20930,11780,41.0010093627093,0.865874363327674
"16","FLD0017",272,30502,24921,23543,23226,16550,6061,19.8708281424169,4.48770829896057
"17","FLD0018",156,44593,34157,33338,33305,31121,23144,51.9005225035319,0.674040788109229
"18","FLD0019",22,44545,37364,37227,37185,36622,32139,72.1495117297115,0.0684526587634961
"19","FLD0020",160,45131,37210,36683,36603,33458,15285,33.8680729432098,1.04677788681714
"20","FLD0021",214,32519,26063,24892,24762,19211,7062,21.7165349487992,3.03030303030303
"21","FLD0022",64,20745,15629,15224,15225,13275,9444,45.5242227042661,0.677678949597628
"22","FLD0023",81,34972,25987,24042,23802,21557,18250,52.1846048267185,0.443835616438356
"23","FLD0024",19,11480,9150,8949,8922,8064,6391,55.6707317073171,0.297293068377406
"24","FLD0025",5,269,221,155,148,98,41,15.2416356877323,12.1951219512195
"25","FLD0026",104,49158,39346,37797,37589,35526,28702,58.3872411408113,0.362344087520033
"26","FLD0028",0,7,4,1,1,1,0,0,NA
"27","FLD0029",256,29295,23791,22260,22088,15190,5203,17.7607100187745,4.92023832404382
"28","FLD0030",91,33158,26053,25038,25052,22909,15981,48.1965136618614,0.569426193604906
"29","FLD0031",214,30509,24461,23482,23261,18482,7254,23.7765905142745,2.9500964984836
"30","FLD0032",320,36459,29867,28482,28122,21129,8337,22.8667818645602,3.83831114309704
"31","FLD0033",118,48094,38817,38084,38156,35920,21488,44.6791699588306,0.549143708116158
"32","FLD0034",204,45019,34842,33796,33787,29676,15245,33.8634798640574,1.33814365365694
"33","FLD0035",258,26324,20588,19618,19327,14540,4637,17.6151040875247,5.56394220401121
"34","FLD0036",59,21097,15515,15248,15201,13350,11095,52.5904156989145,0.531771068048671
"35","FLD0038",0,44,1,1,1,1,0,0,NA
"36","FLD0039",42,40874,33444,32966,33005,31902,26070,63.7813769144199,0.161104718066743
"37","FLD0040",285,38450,30617,29059,28712,20802,6831,17.7659297789337,4.17215634606939
"38","FLD0041",35,34662,23964,22471,22212,20830,18467,53.2773642605735,0.189527264850815
"39","FLD0042",122,43856,34863,33936,33983,30822,17443,39.7733491426487,0.699420971163217
"40","FLD0044",106,45233,36418,35829,35746,33667,24790,54.8051201556386,0.427591770875353
"41","FLD0045",95,25929,20963,20427,20434,18382,10688,41.2202553125844,0.888847305389222
"42","FLD0047",44,4557,3382,3143,3089,2731,2141,46.9826640333553,2.05511443250817
"43","FLD0048",52,8153,6280,6023,6021,5480,3336,40.9174536980253,1.55875299760192
"44","FLD0049",247,34311,26917,25085,24870,16496,5734,16.7118416834251,4.30763864666899
"45","FLD0050",0,8,6,1,2,0,0,0,NA
"46","FLD0051",229,28068,23140,21938,21724,15647,5377,19.1570471711558,4.25888041658918
"47","FLD0052",218,33792,26695,25482,25174,19326,6977,20.6468986742424,3.12455209975634
"48","FLD0053",0,2,2,1,1,1,0,0,NA
"49","FLD0054",23,42672,35583,35339,35310,34821,33897,79.4361642294713,0.0678526123255745
"50","FLD0055",29,47708,38931,38720,38627,38210,30030,62.9454179592521,0.0965700965700966
"51","FLD0056",101,42251,32287,31364,31310,28575,15151,35.8595062838749,0.666622665170616
"52","FLD0057",111,47005,37287,36585,36714,34138,17382,36.9790447824699,0.638591646530894
"53","FLD0058",100,40505,31499,30619,30707,28392,16709,41.2516973213184,0.598479861152672
"54","FLD0060",283,33744,26929,25761,25436,19296,7208,21.3608345187293,3.92619311875694
"55","FLD0061",51,24834,17769,17376,17369,16068,11108,44.7290005637433,0.459128555995679
"56","FLD0062",207,26977,21112,20120,19850,15149,5346,19.8168810468177,3.87205387205387
"57","FLD0063",16,35155,29171,29154,29089,28904,25945,73.8017351728061,0.0616689150125265
"58","FLD0064",103,30301,22678,22006,22033,20936,14468,47.747599089139,0.711915952446779
"59","FLD0065",322,37500,29649,28227,27785,21220,6781,18.0826666666667,4.7485621589736
"60","FLD0066",1,41,27,18,15,12,2,4.8780487804878,50
"61","FLD0067",270,40605,32136,30088,29618,19440,6431,15.8379509912572,4.19841393251438
"62","FLD0068",116,50154,39545,38685,38737,36099,22262,44.3872871555609,0.521067289551702
"63","FLD0069",119,45806,36003,35274,35313,32574,19185,41.8831594114308,0.620276257492833
"64","FLD0070",80,30029,24998,24629,24703,23175,14900,49.6187019214759,0.536912751677852
"65","FLD0071",236,28150,22961,21885,21518,15974,6244,22.1811722912966,3.77962844330557
"66","FLD0072",64,13277,10478,10190,10103,9623,6835,51.4800030127288,0.936356986100951
"67","FLD0073",4,1763,1245,1214,1218,1136,582,33.011911514464,0.687285223367698
"68","FLD0074",93,48178,40097,39691,39602,37282,20819,43.2126696832579,0.446707334646237
"69","FLD0075",0,2,2,2,2,0,0,0,NA
"70","FLD0077",246,32112,26121,24685,24581,18068,6140,19.1205779770802,4.00651465798046
"71","FLD0078",284,36893,29773,28181,27996,20556,7283,19.7408722521888,3.89949196759577
"72","FLD0079",1,3,2,1,1,1,1,33.3333333333333,100
"73","FLD0080",143,47372,39038,38371,38398,35205,18382,38.8035126234907,0.777934936350778
"74","FLD0081",0,9,4,1,1,0,0,0,NA
"75","FLD0082",44,19860,15640,15344,15239,14033,11030,55.5387713997986,0.398912058023572
"76","FLD0083",111,56465,46034,45263,45234,41928,22675,40.1576197644559,0.489525909592062
"77","FLD0084",37,43172,33793,33580,33603,32651,20745,48.0519781339757,0.178356230416968
"78","FLD0085",18,10672,7767,7573,7524,6971,5740,53.7856071964018,0.313588850174216
"79","FLD0086",126,45581,36396,35683,35811,33241,17418,38.2132906254799,0.723389596968653
"80","FLD0087",285,35619,28393,27017,26825,19961,7409,20.8006962576153,3.84667296531246
"81","FLD0088",144,45250,32431,31554,31393,28201,14169,31.3127071823204,1.01630319712047
"82","FLD0089",146,46988,38116,37271,37271,33480,17769,37.8160381373968,0.821655692498171
"83","FLD0090",207,30963,23969,22911,22344,16948,5708,18.4349061783419,3.62648913805186
"84","FLD0091",42,34665,28656,28398,28422,27715,22469,64.8175393047743,0.186924206684766
"85","FLD0092",59,26797,21508,21106,21182,19663,12608,47.0500429152517,0.467956852791878
"86","FLD0094",330,40787,32788,31175,30686,21933,7580,18.5843528575281,4.35356200527704
"87","FLD0095",87,25812,19898,19585,19558,18272,14068,54.5017821168449,0.618424793858402
"88","FLD0096",217,30156,23966,22863,22566,17456,6361,21.0936463721979,3.41141329979563
"89","FLD0097",257,36008,29012,27556,27218,19954,7619,21.1591868473673,3.37314608216301
"90","FLD0098",8,209,152,108,117,99,82,39.2344497607655,9.75609756097561
"91","FLD0099",248,31411,25151,23869,23681,17130,6397,20.3654770621757,3.87681725808973
"92","FLD0100",191,30249,23724,22622,22339,16869,7457,24.6520546133756,2.56135175003353
"93","FLD0101",20,25162,17761,16304,16108,14323,13023,51.7566171210556,0.153574445212317
"94","FLD0102",50,25229,17383,15430,15035,13455,11484,45.5190455428277,0.435388366422849
"95","FLD0103",52,20834,14278,12517,12261,10782,8801,42.2434482096573,0.590841949778434
"96","FLD0104",205,24771,19475,18355,18002,12360,4511,18.2108110290259,4.5444469075593
"97","FLD0105",39,25248,17505,17223,17187,16403,11599,45.9402724968314,0.336235882403655
"98","FLD0106",300,34220,26181,25011,24516,17970,5516,16.1192285213326,5.43872371283539
"99","FLD0107",264,31871,26338,24913,24716,18185,6403,20.0903642810078,4.12306731219741
"100","FLD0108",118,37861,29573,29084,29070,27067,14599,38.5594675259502,0.80827453935201
"101","FLD0109",57,27050,20076,19010,18947,17667,16204,59.9038817005545,0.351764996297211
