"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"1","FLD0001",19,5849,2052,1930,1869,1704,1650,28.209950418875,1.15151515151515
"2","FLD0002",14,4947,2001,1909,1919,1699,1698,34.3238326258338,0.824499411071849
"3","FLD0004",34,4590,1824,1594,1541,1070,876,19.0849673202614,3.88127853881279
"4","FLD0005",17,4803,1980,1900,1916,1444,1174,24.4430564230689,1.44804088586031
"5","FLD0006",35,4301,1590,1379,1247,818,637,14.8105091839107,5.49450549450549
"6","FLD0007",26,3675,1230,1046,901,565,458,12.4625850340136,5.67685589519651
"7","FLD0008",33,4044,1453,1234,1190,754,614,15.1829871414441,5.37459283387622
"8","FLD0009",13,7099,2736,2629,2621,2064,1600,22.5383856881251,0.8125
"9","FLD0010",19,2262,693,612,594,560,555,24.5358090185676,3.42342342342342
"10","FLD0012",56,6328,2220,1982,1874,1302,960,15.1706700379267,5.83333333333333
"11","FLD0013",37,4976,1895,1695,1649,1192,912,18.3279742765273,4.05701754385965
"12","FLD0014",31,5203,1808,1554,1425,911,658,12.6465500672689,4.7112462006079
"13","FLD0015",16,6846,2128,2098,2091,2032,1967,28.7321063394683,0.813421453990849
"14","FLD0016",16,4841,1952,1898,1881,1550,1254,25.9037388969221,1.27591706539075
"15","FLD0017",48,4974,1732,1508,1473,957,737,14.8170486529956,6.51289009497965
"16","FLD0018",46,6842,2468,2312,2196,1970,1846,26.980415083309,2.49187432286024
"17","FLD0019",10,7148,3186,3166,3158,2544,2503,35.0167879127029,0.399520575309628
"18","FLD0020",13,7340,2858,2754,2778,2150,1659,22.6021798365123,0.783604581072936
"19","FLD0021",37,4936,1947,1753,1698,1201,946,19.1653160453809,3.91120507399577
"20","FLD0022",27,3493,1254,1144,1087,987,967,27.6839393071858,2.79214064115822
"21","FLD0023",30,6247,2361,2036,1991,1839,1829,29.2780534656635,1.64024056861673
"22","FLD0024",15,1904,705,668,653,648,638,33.5084033613445,2.35109717868339
"23","FLD0025",0,49,14,1,2,0,0,0,NA
"24","FLD0026",38,8729,3667,3391,3262,3105,3065,35.1128422499714,1.23980424143556
"25","FLD0029",32,4781,1535,1328,1173,788,577,12.0686048943736,5.54592720970537
"26","FLD0030",22,5359,2056,1939,1895,1678,1587,29.6137339055794,1.38626339004411
"27","FLD0031",46,4761,1667,1510,1432,1098,863,18.1264440243646,5.33024333719583
"28","FLD0032",39,5771,2128,1896,1731,1268,952,16.4962744758274,4.09663865546218
"29","FLD0033",15,7820,2793,2687,2736,2263,1846,23.6061381074169,0.812567713976165
"30","FLD0034",45,7112,2037,1862,1821,1474,1370,19.2632170978628,3.28467153284672
"31","FLD0035",29,4209,1440,1286,1171,862,700,16.6310287479211,4.14285714285714
"32","FLD0036",22,3582,1166,1069,1034,921,906,25.2931323283082,2.42825607064018
"33","FLD0039",25,6574,2871,2791,2734,2340,2232,33.9519318527533,1.12007168458781
"34","FLD0040",44,5962,2333,2075,2004,1355,1020,17.1083529017108,4.31372549019608
"35","FLD0041",12,5798,2029,1885,1845,1770,1770,30.5277681959296,0.677966101694915
"36","FLD0042",21,7177,2591,2461,2475,2031,1814,25.2751846175282,1.15766262403528
"37","FLD0044",16,7251,2556,2450,2424,2103,1962,27.0583367811336,0.815494393476045
"38","FLD0045",11,4302,1351,1255,1267,921,767,17.8289167828917,1.43415906127771
"39","FLD0047",7,703,264,217,189,176,176,25.0355618776671,3.97727272727273
"40","FLD0048",17,1365,488,411,347,313,313,22.9304029304029,5.43130990415335
"41","FLD0049",36,5424,1841,1604,1425,840,701,12.9240412979351,5.13552068473609
"42","FLD0051",31,4449,1725,1455,1455,921,731,16.4306585749607,4.24076607387141
"43","FLD0052",37,5219,1884,1640,1573,1087,849,16.267484192374,4.35806831566549
"44","FLD0054",17,6807,2787,2684,2739,2049,2043,30.013221683561,0.83210964268233
"45","FLD0055",11,7774,3007,2954,2957,2609,2508,32.261384100849,0.43859649122807
