Tax_ID,Jejunum_Infected,Jejunum_Non_infected,Ascaris
ASV1:Clostridium sensu stricto 1,X,X,X
ASV2:Lactobacillus,X,X,X
ASV4:Escherichia-Shigella,X,,X
ASV5:Terrisporobacter,X,X,X
ASV6:Streptococcus,X,X,X
ASV7:Romboutsia,X,X,X
ASV9:Turicibacter sanguinis,X,X,X
ASV11:Prevotella,X,X,X
ASV12:Succinivibrio,X,X,
ASV14:Megasphaera,X,X,X
ASV17:Streptococcus alactolyticus,,X,
ASV18:Clostridium sensu stricto 1,,,X
ASV19:Succinivibrionaceae,X,X,
ASV21:Clostridium sensu stricto 1,,,X
ASV22:Lactobacillus,X,X,X
ASV24:Prevotella,X,X,
ASV25:Prevotella copri,X,X,X
ASV26:Anaerovibrio,,X,
ASV27:Prevotellaceae,X,X,
ASV28:Parasutterella,,X,
ASV29:Lactobacillus pontis,X,,X
ASV30:Lactobacillus reuteri,X,X,X
ASV31:Lactobacillus,X,X,
ASV32:Prevotella,X,,
ASV34:Prevotellaceae,X,X,
ASV35:Megasphaera,X,X,X
ASV37:Clostridium s. s. 1 butyricum,X,X,
ASV38:Anaerovibrio,X,X,
ASV40:Lactobacillus,X,,X
ASV41:Intestinibacter,X,X,
ASV42:Prevotella,X,,
ASV44:Prevotellaceae,X,,
ASV49:Rickettsiales,,,X
ASV53:Anaerovibrio,X,,
ASV54:Prevotella,X,X,
ASV56:Anaerovibrio,X,X,
ASV58:Parasutterella,,X,
ASV59:Prevotella,X,,
ASV61:Prevotellaceae,X,X,
ASV62:Escherichia-Shigella,,,X
ASV63:Subdoligranulum,X,X,
ASV64:Lachnospiraceae,X,,
ASV71:Parasutterella,,X,
ASV74:Prevotellaceae,X,,
ASV76:Prevotella,X,X,
ASV78:Prevotella,X,,
ASV88:Blautia,X,X,
ASV91:Lactobacillus,X,,
ASV131:Clostridia,,X,
ASV133:Subdoligranulum,,X,
ASV191:Parasutterella,,X,
ASV197:Bifidobacterium,,X,
