"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","ASV14","Abundance","FU","SH",41,18,609,3.74e-05,0.0007106,"***",0.075,1,2
"2","ASV165","Abundance","FU","SH",41,18,211,3.41e-05,0.0006479,"***",0.025,1,2
"3","ASV2","Abundance","FU","SH",41,18,724.5,5.07e-09,9.633e-08,"****",0.7,1,2
"4","ASV20","Abundance","FU","SH",41,18,184.5,1.29e-06,2.451e-05,"****",1.7,1,2
"5","ASV22","Abundance","FU","SH",41,18,648.5,2.8e-06,5.32e-05,"****",0.06,1,2
"6","ASV293","Abundance","FU","SH",41,18,246,0.000121,0.002299,"**",0.012,1,2
"7","ASV304","Abundance","FU","SH",41,18,205,6.11e-06,0.00011609,"***",0.005,1,2
"8","ASV333","Abundance","FU","SH",41,18,246,0.000121,0.002299,"**",0.006,1,2
"9","ASV35","Abundance","FU","SH",41,18,628.5,6.43e-06,0.00012217,"***",0.035,1,2
"10","ASV352","Abundance","FU","SH",41,18,246,0.00012,0.00228,"**",0.007,1,2
"11","ASV43","Abundance","FU","SH",41,18,164,2.6e-07,4.94e-06,"****",0.65,1,2
"12","ASV454","Abundance","FU","SH",41,18,246,0.000121,0.002299,"**",0.003,1,2
"13","ASV55","Abundance","FU","SH",41,18,225.5,2.77e-05,0.0005263,"***",0.33,1,2
"14","ASV62","Abundance","FU","SH",41,18,643.5,4.2e-06,7.98e-05,"****",0.035,1,2
"15","ASV68","Abundance","FU","SH",41,18,143.5,4.99e-08,9.481e-07,"****",0.09,1,2
"16","ASV7","Abundance","FU","SH",41,18,645.5,2.02e-06,3.838e-05,"****",0.9,1,2
"17","ASV87","Abundance","FU","SH",41,18,246,0.000121,0.002299,"**",0.22,1,2
"18","ASV9","Abundance","FU","SH",41,18,604.5,4.74e-05,0.0009006,"***",0.6,1,2
"19","ASV93","Abundance","FU","SH",41,18,246,0.000121,0.002299,"**",0.25,1,2
