"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","ASV100","Abundance","Duodenum","Ascaris",7,43,232,1.36e-05,0.0002312,"***",0.5,1,2
"2","ASV112","Abundance","Duodenum","Ascaris",7,43,215,1.38e-05,0.0002346,"***",5,1,2
"3","ASV125","Abundance","Duodenum","Ascaris",7,43,233.5,4.38e-05,0.0007446,"***",2.5,1,2
"4","ASV143","Abundance","Duodenum","Ascaris",7,43,233,1.07e-05,0.0001819,"***",1.5,1,2
"5","ASV152","Abundance","Duodenum","Ascaris",7,43,252,5.65e-07,9.605e-06,"****",0.5,1,2
"6","ASV154","Abundance","Duodenum","Ascaris",7,43,258,9.14e-09,1.5538e-07,"****",2,1,2
"7","ASV164","Abundance","Duodenum","Ascaris",7,43,215,1.38e-05,0.0002346,"***",2.5,1,2
"8","ASV169","Abundance","Duodenum","Ascaris",7,43,231,1.74e-05,0.0002958,"***",0.2,1,2
"9","ASV176","Abundance","Duodenum","Ascaris",7,43,215,1.38e-05,0.0002346,"***",0.2,1,2
"10","ASV192","Abundance","Duodenum","Ascaris",7,43,258.5,1.69e-05,0.0002873,"***",0.2,1,2
"11","ASV230","Abundance","Duodenum","Ascaris",7,43,236.5,3.76e-07,6.392e-06,"****",0.2,1,2
"12","ASV231","Abundance","Duodenum","Ascaris",7,43,231,1.74e-05,0.0002958,"***",0.2,1,2
"13","ASV383","Abundance","Duodenum","Ascaris",7,43,215,1.38e-05,0.0002346,"***",0.2,1,2
"14","ASV385","Abundance","Duodenum","Ascaris",7,43,215,1.38e-05,0.0002346,"***",0.3,1,2
"15","ASV69","Abundance","Duodenum","Ascaris",7,43,233,1.07e-05,0.0001819,"***",0.6,1,2
"16","ASV78","Abundance","Duodenum","Ascaris",7,43,265,3.59e-05,0.0006103,"***",1.2,1,2
"17","ASV90","Abundance","Duodenum","Ascaris",7,43,254,3.36e-07,5.712e-06,"****",1.3,1,2
