"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Bacteroidota","Abundance","Duodenum","Cecum",11,14,0,4.49e-07,1.796e-05,"****",55,1,4
"2","Bacteroidota","Abundance","Duodenum","Colon",11,14,0,4.49e-07,1.796e-05,"****",60,1,5
"3","Bacteroidota","Abundance","Jejunum","Cecum",12,14,0,2.07e-07,8.28e-06,"****",65,2,4
"4","Bacteroidota","Abundance","Jejunum","Colon",12,14,0,2.07e-07,8.28e-06,"****",70,2,5
"5","Bacteroidota","Abundance","Ileum","Cecum",11,14,1,8.97e-07,3.588e-05,"****",75,3,4
"6","Bacteroidota","Abundance","Ileum","Colon",11,14,0,4.49e-07,1.796e-05,"****",80,3,5
"7","Firmicutes","Abundance","Duodenum","Ileum",11,11,6,8.51e-05,0.003404,"**",110,1,3
"8","Firmicutes","Abundance","Jejunum","Cecum",12,14,154,0.000105,0.0042,"**",115,2,4
"9","Firmicutes","Abundance","Jejunum","Colon",12,14,154,0.000105,0.0042,"**",120,2,5
"10","Firmicutes","Abundance","Ileum","Cecum",11,14,141,0.000166,0.00664,"**",125,3,4
"11","Firmicutes","Abundance","Ileum","Colon",11,14,140,0.000225,0.009,"**",130,3,5
"12","Proteobacteria","Abundance","Duodenum","Ileum",11,11,108,0.001,0.04,"*",100,1,3
