"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Actinobacteriota","Abundance","Infected","Non_infected",9,2,15,0.174,1,"ns",21.4282,1,2
"2","Actinobacteriota","Abundance","Infected","Worm",9,47,214,0.963,1,"ns",39.3355,1,3
"3","Actinobacteriota","Abundance","Non_infected","Worm",2,47,22,0.188,1,"ns",57.2428,2,3
"4","Bacteroidota","Abundance","Infected","Non_infected",9,2,13,0.436,1,"ns",46.3842,1,2
"5","Bacteroidota","Abundance","Infected","Worm",9,47,329,0.007,0.084,"ns",64.2915,1,3
"6","Bacteroidota","Abundance","Non_infected","Worm",2,47,68,0.333,1,"ns",82.1988,2,3
"7","Firmicutes","Abundance","Infected","Non_infected",9,2,13,0.436,1,"ns",111.4232,1,2
"8","Firmicutes","Abundance","Infected","Worm",9,47,51,0.000114,0.001368,"**",129.3305,1,3
"9","Firmicutes","Abundance","Non_infected","Worm",2,47,0,0.002,0.024,"*",147.2378,2,3
"10","Proteobacteria","Abundance","Infected","Non_infected",9,2,5,0.436,1,"ns",109.7622,1,2
"11","Proteobacteria","Abundance","Infected","Worm",9,47,318,0.016,0.192,"ns",127.6695,1,3
"12","Proteobacteria","Abundance","Non_infected","Worm",2,47,94,0.002,0.024,"*",145.5768,2,3
