"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Actinobacteriota","Abundance","Infected","Non_infected",9,3,15,0.853,1,"ns",21.94968,1,2
"2","Actinobacteriota","Abundance","Infected","Worm",9,47,261,0.255,1,"ns",39.8217,1,3
"3","Actinobacteriota","Abundance","Non_infected","Worm",3,47,84,0.579,1,"ns",57.69372,2,3
"4","Bacteroidota","Abundance","Infected","Non_infected",9,3,20,0.282,1,"ns",46.36068,1,2
"5","Bacteroidota","Abundance","Infected","Worm",9,47,227,0.742,1,"ns",64.2327,1,3
"6","Bacteroidota","Abundance","Non_infected","Worm",3,47,27,0.08,0.96,"ns",82.10472,2,3
"7","Firmicutes","Abundance","Infected","Non_infected",9,3,1,0.018,0.216,"ns",111.39968,1,2
"8","Firmicutes","Abundance","Infected","Worm",9,47,153,0.199,1,"ns",129.2717,1,3
"9","Firmicutes","Abundance","Non_infected","Worm",3,47,98,0.284,1,"ns",147.14372,2,3
"10","Proteobacteria","Abundance","Infected","Non_infected",9,3,22,0.145,1,"ns",92.33868,1,2
"11","Proteobacteria","Abundance","Infected","Worm",9,47,244,0.482,1,"ns",110.2107,1,3
"12","Proteobacteria","Abundance","Non_infected","Worm",3,47,51,0.457,1,"ns",128.08272,2,3
