"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Chao1","Cecum","Colon",7,7,15,0.259,1,"ns",1474.8344,1,2
"2","Chao1","Cecum","Duodenum",7,7,49,0.000583,0.00583,"**",1627.43373333333,1,3
"3","Chao1","Cecum","Ileum",7,7,47,0.002,0.02,"*",1780.03306666667,1,4
"4","Chao1","Cecum","Jejunum",7,7,49,0.000583,0.00583,"**",1932.6324,1,5
"5","Chao1","Colon","Duodenum",7,7,49,0.000583,0.00583,"**",2085.23173333333,2,3
"6","Chao1","Colon","Ileum",7,7,48,0.001,0.01,"**",2237.83106666667,2,4
"7","Chao1","Colon","Jejunum",7,7,49,0.000583,0.00583,"**",2390.4304,2,5
"8","Chao1","Duodenum","Ileum",7,7,8,0.038,0.38,"ns",2543.02973333333,3,4
"9","Chao1","Duodenum","Jejunum",7,7,16,0.318,1,"ns",2695.62906666667,3,5
"10","Chao1","Ileum","Jejunum",7,7,39,0.073,0.73,"ns",2848.2284,4,5
