"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Chao1","Cecum","Colon",4,4,5,0.486,1,"ns",1038.14416,1,2
"2","Chao1","Cecum","Duodenum",4,2,8,0.133,1,"ns",1152.92322666667,1,3
"3","Chao1","Cecum","Ileum",4,3,12,0.057,0.57,"ns",1267.70229333333,1,4
"4","Chao1","Cecum","Jejunum",4,3,12,0.057,0.57,"ns",1382.48136,1,5
"5","Chao1","Colon","Duodenum",4,2,8,0.133,1,"ns",1497.26042666667,2,3
"6","Chao1","Colon","Ileum",4,3,12,0.057,0.57,"ns",1612.03949333333,2,4
"7","Chao1","Colon","Jejunum",4,3,12,0.057,0.57,"ns",1726.81856,2,5
"8","Chao1","Duodenum","Ileum",2,3,0,0.2,1,"ns",1841.59762666667,3,4
"9","Chao1","Duodenum","Jejunum",2,3,0,0.2,1,"ns",1956.37669333333,3,5
"10","Chao1","Ileum","Jejunum",3,3,2,0.4,1,"ns",2071.15576,4,5
