"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","mvd.distances","Pig1","Pig2",5,7,3,0.018,0.81,"ns",0.64724,1,2
"2","mvd.distances","Pig1","Pig3",5,8,8,0.093,1,"ns",0.681235454545455,1,3
"3","mvd.distances","Pig1","Pig5",5,1,2,1,1,"ns",0.715230909090909,1,4
"4","mvd.distances","Pig1","Pig10",5,6,13,0.792,1,"ns",0.749226363636364,1,5
"5","mvd.distances","Pig1","Pig11",5,6,22,0.247,1,"ns",0.783221818181818,1,6
"6","mvd.distances","Pig1","Pig12",5,6,12,0.662,1,"ns",0.817217272727273,1,7
"7","mvd.distances","Pig1","Pig13",5,3,2,0.143,1,"ns",0.851212727272727,1,8
"8","mvd.distances","Pig1","Pig14",5,5,5,0.151,1,"ns",0.885208181818182,1,9
"9","mvd.distances","Pig1","SH",5,18,28,0.227,1,"ns",0.919203636363636,1,10
"10","mvd.distances","Pig2","Pig3",7,8,33,0.613,1,"ns",0.953199090909091,2,3
"11","mvd.distances","Pig2","Pig5",7,1,7,0.25,1,"ns",0.987194545454545,2,4
"12","mvd.distances","Pig2","Pig10",7,6,37,0.022,0.99,"ns",1.02119,2,5
"13","mvd.distances","Pig2","Pig11",7,6,42,0.001,0.045,"*",1.05518545454545,2,6
"14","mvd.distances","Pig2","Pig12",7,6,41,0.002,0.09,"ns",1.08918090909091,2,7
"15","mvd.distances","Pig2","Pig13",7,3,11,1,1,"ns",1.12317636363636,2,8
"16","mvd.distances","Pig2","Pig14",7,5,25,0.268,1,"ns",1.15717181818182,2,9
"17","mvd.distances","Pig2","SH",7,18,94,0.064,1,"ns",1.19116727272727,2,10
"18","mvd.distances","Pig3","Pig5",8,1,6,0.667,1,"ns",1.22516272727273,3,4
"19","mvd.distances","Pig3","Pig10",8,6,35,0.181,1,"ns",1.25915818181818,3,5
"20","mvd.distances","Pig3","Pig11",8,6,47,0.001,0.045,"*",1.29315363636364,3,6
"21","mvd.distances","Pig3","Pig12",8,6,37,0.108,1,"ns",1.32714909090909,3,7
"22","mvd.distances","Pig3","Pig13",8,3,10,0.776,1,"ns",1.36114454545455,3,8
"23","mvd.distances","Pig3","Pig14",8,5,24,0.622,1,"ns",1.39514,3,9
"24","mvd.distances","Pig3","SH",8,18,89,0.367,1,"ns",1.42913545454545,3,10
"25","mvd.distances","Pig5","Pig10",1,6,2,0.857,1,"ns",1.46313090909091,4,5
"26","mvd.distances","Pig5","Pig11",1,6,6,0.286,1,"ns",1.49712636363636,4,6
"27","mvd.distances","Pig5","Pig12",1,6,1,0.571,1,"ns",1.53112181818182,4,7
"28","mvd.distances","Pig5","Pig13",1,3,0,0.5,1,"ns",1.56511727272727,4,8
"29","mvd.distances","Pig5","Pig14",1,5,0,0.333,1,"ns",1.59911272727273,4,9
"30","mvd.distances","Pig5","SH",1,18,3,0.421,1,"ns",1.63310818181818,4,10
"31","mvd.distances","Pig10","Pig11",6,6,30,0.065,1,"ns",1.66710363636364,5,6
"32","mvd.distances","Pig10","Pig12",6,6,18,1,1,"ns",1.70109909090909,5,7
"33","mvd.distances","Pig10","Pig13",6,3,2,0.095,1,"ns",1.73509454545455,5,8
"34","mvd.distances","Pig10","Pig14",6,5,5,0.082,1,"ns",1.76909,5,9
"35","mvd.distances","Pig10","SH",6,18,35,0.224,1,"ns",1.80308545454545,5,10
"36","mvd.distances","Pig11","Pig12",6,6,1,0.004,0.18,"ns",1.83708090909091,6,7
"37","mvd.distances","Pig11","Pig13",6,3,0,0.024,1,"ns",1.87107636363636,6,8
"38","mvd.distances","Pig11","Pig14",6,5,0,0.004,0.18,"ns",1.90507181818182,6,9
"39","mvd.distances","Pig11","SH",6,18,18,0.015,0.675,"ns",1.93906727272727,6,10
"40","mvd.distances","Pig12","Pig13",6,3,0,0.024,1,"ns",1.97306272727273,7,8
"41","mvd.distances","Pig12","Pig14",6,5,0,0.004,0.18,"ns",2.00705818181818,7,9
"42","mvd.distances","Pig12","SH",6,18,29,0.104,1,"ns",2.04105363636364,7,10
"43","mvd.distances","Pig13","Pig14",3,5,12,0.25,1,"ns",2.07504909090909,8,9
"44","mvd.distances","Pig13","SH",3,18,43,0.125,1,"ns",2.10904454545455,8,10
"45","mvd.distances","Pig14","SH",5,18,59,0.325,1,"ns",2.14304,9,10
