"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","mvd.distances","Duodenum","Jejunum",9,9,40,1,1,"ns",0.71556,1,2
"2","mvd.distances","Duodenum","Ileum",9,8,59,0.027,0.405,"ns",0.749374285714286,1,3
"3","mvd.distances","Duodenum","Cecum",9,10,76,0.01,0.15,"ns",0.783188571428572,1,4
"4","mvd.distances","Duodenum","Colon",9,10,81,0.002,0.03,"*",0.817002857142857,1,5
"5","mvd.distances","Duodenum","Ascaris",9,47,261,0.28,1,"ns",0.850817142857143,1,6
"6","mvd.distances","Jejunum","Ileum",9,8,60,0.021,0.315,"ns",0.884631428571429,2,3
"7","mvd.distances","Jejunum","Cecum",9,10,74,0.017,0.255,"ns",0.918445714285714,2,4
"8","mvd.distances","Jejunum","Colon",9,10,78,0.006,0.09,"ns",0.95226,2,5
"9","mvd.distances","Jejunum","Ascaris",9,47,253,0.367,1,"ns",0.986074285714286,2,6
"10","mvd.distances","Ileum","Cecum",8,10,26,0.237,1,"ns",1.01988857142857,3,4
"11","mvd.distances","Ileum","Colon",8,10,29,0.36,1,"ns",1.05370285714286,3,5
"12","mvd.distances","Ileum","Ascaris",8,47,93,0.022,0.33,"ns",1.08751714285714,3,6
"13","mvd.distances","Cecum","Colon",10,10,57,0.631,1,"ns",1.12133142857143,4,5
"14","mvd.distances","Cecum","Ascaris",10,47,162,0.13,1,"ns",1.15514571428571,4,6
"15","mvd.distances","Colon","Ascaris",10,47,143,0.054,0.81,"ns",1.18896,5,6
