"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Lactobacillus",26,15,380,4.38e-09,5.7816e-07,"****",111.04408,1,2
"2","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",26,3,78,0.000547,0.072204,"ns",123.506614,1,3
"3","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Prevotella",26,2,52,0.005,0.66,"ns",135.969148,1,4
"4","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Romboutsia",26,2,52,0.005,0.66,"ns",148.431682,1,5
"5","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Helicobacter",26,1,26,0.074,1,"ns",160.894216,1,6
"6","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Streptococcus",26,1,26,0.074,1,"ns",173.35675,1,7
"7","Clostridium sensu stricto 1","Abundance","Lactobacillus","Escherichia-Shigella",15,3,20,0.824,1,"ns",185.819284,2,3
"8","Clostridium sensu stricto 1","Abundance","Lactobacillus","Prevotella",15,2,27,0.088,1,"ns",198.281818,2,4
"9","Clostridium sensu stricto 1","Abundance","Lactobacillus","Romboutsia",15,2,4,0.132,1,"ns",210.744352,2,5
"10","Clostridium sensu stricto 1","Abundance","Lactobacillus","Helicobacter",15,1,5,0.75,1,"ns",223.206886,2,6
"11","Clostridium sensu stricto 1","Abundance","Lactobacillus","Streptococcus",15,1,9,0.875,1,"ns",235.66942,2,7
"12","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Prevotella",3,2,6,0.2,1,"ns",248.131954,3,4
"13","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Romboutsia",3,2,1,0.4,1,"ns",260.594488,3,5
"14","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Helicobacter",3,1,1,1,1,"ns",273.057022,3,6
"15","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Streptococcus",3,1,3,0.5,1,"ns",285.519556,3,7
"16","Clostridium sensu stricto 1","Abundance","Prevotella","Romboutsia",2,2,0,0.333,1,"ns",297.98209,4,5
"17","Clostridium sensu stricto 1","Abundance","Prevotella","Helicobacter",2,1,0,0.667,1,"ns",310.444624,4,6
"18","Clostridium sensu stricto 1","Abundance","Prevotella","Streptococcus",2,1,0,0.667,1,"ns",322.907158,4,7
"19","Clostridium sensu stricto 1","Abundance","Romboutsia","Helicobacter",2,1,2,0.667,1,"ns",335.369692,5,6
"20","Clostridium sensu stricto 1","Abundance","Romboutsia","Streptococcus",2,1,2,0.667,1,"ns",347.832226,5,7
"21","Clostridium sensu stricto 1","Abundance","Helicobacter","Streptococcus",1,1,1,1,1,"ns",360.29476,6,7
"22","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Lactobacillus",26,15,123,0.052,1,"ns",48.18708,1,2
"23","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",26,3,0,0.000547,0.072204,"ns",60.649614,1,3
"24","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Prevotella",26,2,40,0.259,1,"ns",73.112148,1,4
"25","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Romboutsia",26,2,35,0.476,1,"ns",85.574682,1,5
"26","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Helicobacter",26,1,17,0.741,1,"ns",98.037216,1,6
"27","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Streptococcus",26,1,5,0.444,1,"ns",110.49975,1,7
"28","Escherichia-Shigella","Abundance","Lactobacillus","Escherichia-Shigella",15,3,0,0.002,0.264,"ns",122.962284,2,3
"29","Escherichia-Shigella","Abundance","Lactobacillus","Prevotella",15,2,27,0.088,1,"ns",135.424818,2,4
"30","Escherichia-Shigella","Abundance","Lactobacillus","Romboutsia",15,2,24,0.235,1,"ns",147.887352,2,5
"31","Escherichia-Shigella","Abundance","Lactobacillus","Helicobacter",15,1,12,0.5,1,"ns",160.349886,2,6
"32","Escherichia-Shigella","Abundance","Lactobacillus","Streptococcus",15,1,9,0.875,1,"ns",172.81242,2,7
"33","Escherichia-Shigella","Abundance","Escherichia-Shigella","Prevotella",3,2,6,0.2,1,"ns",185.274954,3,4
"34","Escherichia-Shigella","Abundance","Escherichia-Shigella","Romboutsia",3,2,6,0.2,1,"ns",197.737488,3,5
"35","Escherichia-Shigella","Abundance","Escherichia-Shigella","Helicobacter",3,1,3,0.5,1,"ns",210.200022,3,6
"36","Escherichia-Shigella","Abundance","Escherichia-Shigella","Streptococcus",3,1,3,0.5,1,"ns",222.662556,3,7
"37","Escherichia-Shigella","Abundance","Prevotella","Romboutsia",2,2,2,1,1,"ns",235.12509,4,5
"38","Escherichia-Shigella","Abundance","Prevotella","Helicobacter",2,1,1,1,1,"ns",247.587624,4,6
"39","Escherichia-Shigella","Abundance","Prevotella","Streptococcus",2,1,0,0.667,1,"ns",260.050158,4,7
"40","Escherichia-Shigella","Abundance","Romboutsia","Helicobacter",2,1,1,1,1,"ns",272.512692,5,6
"41","Escherichia-Shigella","Abundance","Romboutsia","Streptococcus",2,1,0,0.667,1,"ns",284.975226,5,7
"42","Escherichia-Shigella","Abundance","Helicobacter","Streptococcus",1,1,0,1,1,"ns",297.43776,6,7
