"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Clostridium sensu stricto 1","Abundance","1","2",20,17,0,1.26e-10,2.646e-09,"****",111.01648,1,2
"2","Clostridium sensu stricto 1","Abundance","1","3",20,13,38,0.000386,0.008106,"**",128.7787,1,3
"3","Clostridium sensu stricto 1","Abundance","2","3",17,13,218,1.17e-07,2.457e-06,"****",146.54092,2,3
"4","Escherichia-Shigella","Abundance","1","2",20,17,257,0.007,0.147,"ns",48.15948,1,2
"5","Escherichia-Shigella","Abundance","1","3",20,13,174,0.11,1,"ns",65.9217,1,3
"6","Escherichia-Shigella","Abundance","2","3",17,13,96,0.563,1,"ns",83.68392,2,3
"7","Helicobacter","Abundance","1","2",7,7,35,0.209,1,"ns",22.77748,1,2
"8","Helicobacter","Abundance","1","3",7,5,17,1,1,"ns",40.5397,1,3
"9","Helicobacter","Abundance","2","3",7,5,6,0.073,1,"ns",58.30192,2,3
"10","Lactobacillus","Abundance","1","2",20,17,303,1.37e-05,0.0002877,"***",87.94148,1,2
"11","Lactobacillus","Abundance","1","3",20,13,238,1.51e-05,0.0003171,"***",105.7037,1,3
"12","Lactobacillus","Abundance","2","3",17,13,101,0.711,1,"ns",123.46592,2,3
"13","Prevotella","Abundance","1","2",20,14,255,1.27e-05,0.0002667,"***",40.24348,1,2
"14","Prevotella","Abundance","1","3",20,13,207,0.004,0.084,"ns",58.0057,1,3
"15","Prevotella","Abundance","2","3",14,13,53,0.068,1,"ns",75.76792,2,3
"16","Romboutsia","Abundance","1","2",18,7,108,0.005,0.105,"ns",47.36948,1,2
"17","Romboutsia","Abundance","1","3",18,13,48,0.005,0.105,"ns",65.1317,1,3
"18","Romboutsia","Abundance","2","3",7,13,6,0.000774,0.016254,"*",82.89392,2,3
"19","Streptococcus","Abundance","1","2",18,12,195,7.66e-05,0.0016086,"**",40.35648,1,2
"20","Streptococcus","Abundance","1","3",18,13,72,0.075,1,"ns",58.1187,1,3
"21","Streptococcus","Abundance","2","3",12,13,4,4.62e-06,9.702e-05,"****",75.88092,2,3
