"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Aeromonas","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",1,7,0,0.25,1,"ns",71.98944,1,3
"2","Aeromonas","Abundance","Clostridium sensu stricto 1","Aeromonas",1,1,0,1,1,"ns",89.5866,1,7
"3","Aeromonas","Abundance","Escherichia-Shigella","Aeromonas",7,1,0,0.25,1,"ns",107.18376,3,7
"4","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Lactobacillus",30,17,500,1.01e-10,1.2423e-08,"****",109.60344,1,2
"5","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",30,11,330,6.33e-10,7.7859e-08,"****",121.921452,1,3
"6","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Prevotella",30,1,30,0.064,1,"ns",134.239464,1,4
"7","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Romboutsia",30,4,120,4.31e-05,0.0053013,"**",146.557476,1,5
"8","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Streptococcus",30,1,30,0.064,1,"ns",158.875488,1,6
"9","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Aeromonas",30,1,30,0.064,1,"ns",171.1935,1,7
"10","Clostridium sensu stricto 1","Abundance","Lactobacillus","Escherichia-Shigella",17,11,127,0.122,1,"ns",183.511512,2,3
"11","Clostridium sensu stricto 1","Abundance","Lactobacillus","Prevotella",17,1,15,0.333,1,"ns",195.829524,2,4
"12","Clostridium sensu stricto 1","Abundance","Lactobacillus","Romboutsia",17,4,22,0.317,1,"ns",208.147536,2,5
"13","Clostridium sensu stricto 1","Abundance","Lactobacillus","Streptococcus",17,1,9,1,1,"ns",220.465548,2,6
"14","Clostridium sensu stricto 1","Abundance","Lactobacillus","Aeromonas",17,1,17,0.111,1,"ns",232.78356,2,7
"15","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Prevotella",11,1,6,1,1,"ns",245.101572,3,4
"16","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Romboutsia",11,4,12,0.226,1,"ns",257.419584,3,5
"17","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Streptococcus",11,1,5,1,1,"ns",269.737596,3,6
"18","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Aeromonas",11,1,7,0.833,1,"ns",282.055608,3,7
"19","Clostridium sensu stricto 1","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",294.37362,4,5
"20","Clostridium sensu stricto 1","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",306.691632,4,6
"21","Clostridium sensu stricto 1","Abundance","Prevotella","Aeromonas",1,1,1,1,1,"ns",319.009644,4,7
"22","Clostridium sensu stricto 1","Abundance","Romboutsia","Streptococcus",4,1,3,0.8,1,"ns",331.327656,5,6
"23","Clostridium sensu stricto 1","Abundance","Romboutsia","Aeromonas",4,1,4,0.4,1,"ns",343.645668,5,7
"24","Clostridium sensu stricto 1","Abundance","Streptococcus","Aeromonas",1,1,1,1,1,"ns",355.96368,6,7
"25","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Lactobacillus",30,17,240,0.751,1,"ns",106.51944,1,2
"26","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",30,12,6,5.43e-09,6.6789e-07,"****",118.837452,1,3
"27","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Prevotella",30,1,24,0.452,1,"ns",131.155464,1,4
"28","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Romboutsia",30,4,108,0.007,0.861,"ns",143.473476,1,5
"29","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Streptococcus",30,1,9,0.645,1,"ns",155.791488,1,6
"30","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Aeromonas",30,1,2,0.194,1,"ns",168.1095,1,7
"31","Escherichia-Shigella","Abundance","Lactobacillus","Escherichia-Shigella",17,12,0,3.85e-08,4.7355e-06,"****",180.427512,2,3
"32","Escherichia-Shigella","Abundance","Lactobacillus","Prevotella",17,1,13,0.556,1,"ns",192.745524,2,4
"33","Escherichia-Shigella","Abundance","Lactobacillus","Romboutsia",17,4,56,0.052,1,"ns",205.063536,2,5
"34","Escherichia-Shigella","Abundance","Lactobacillus","Streptococcus",17,1,9,1,1,"ns",217.381548,2,6
"35","Escherichia-Shigella","Abundance","Lactobacillus","Aeromonas",17,1,0,0.111,1,"ns",229.69956,2,7
"36","Escherichia-Shigella","Abundance","Escherichia-Shigella","Prevotella",12,1,12,0.154,1,"ns",242.017572,3,4
"37","Escherichia-Shigella","Abundance","Escherichia-Shigella","Romboutsia",12,4,48,0.001,0.123,"ns",254.335584,3,5
"38","Escherichia-Shigella","Abundance","Escherichia-Shigella","Streptococcus",12,1,12,0.154,1,"ns",266.653596,3,6
"39","Escherichia-Shigella","Abundance","Escherichia-Shigella","Aeromonas",12,1,11,0.308,1,"ns",278.971608,3,7
"40","Escherichia-Shigella","Abundance","Prevotella","Romboutsia",1,4,3,0.8,1,"ns",291.28962,4,5
"41","Escherichia-Shigella","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",303.607632,4,6
"42","Escherichia-Shigella","Abundance","Prevotella","Aeromonas",1,1,0,1,1,"ns",315.925644,4,7
"43","Escherichia-Shigella","Abundance","Romboutsia","Streptococcus",4,1,0,0.4,1,"ns",328.243656,5,6
"44","Escherichia-Shigella","Abundance","Romboutsia","Aeromonas",4,1,0,0.4,1,"ns",340.561668,5,7
"45","Escherichia-Shigella","Abundance","Streptococcus","Aeromonas",1,1,0,1,1,"ns",352.87968,6,7
"46","Lactobacillus","Abundance","Clostridium sensu stricto 1","Lactobacillus",29,17,20,3.09e-09,3.8007e-07,"****",95.85744,1,2
"47","Lactobacillus","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",29,12,241,0.056,1,"ns",108.175452,1,3
"48","Lactobacillus","Abundance","Clostridium sensu stricto 1","Prevotella",29,1,21,0.6,1,"ns",120.493464,1,4
"49","Lactobacillus","Abundance","Clostridium sensu stricto 1","Romboutsia",29,4,76,0.348,1,"ns",132.811476,1,5
"50","Lactobacillus","Abundance","Clostridium sensu stricto 1","Streptococcus",29,1,14,1,1,"ns",145.129488,1,6
"51","Lactobacillus","Abundance","Clostridium sensu stricto 1","Aeromonas",29,1,27,0.2,1,"ns",157.4475,1,7
"52","Lactobacillus","Abundance","Lactobacillus","Escherichia-Shigella",17,12,200,4.62e-07,5.6826e-05,"****",169.765512,2,3
"53","Lactobacillus","Abundance","Lactobacillus","Prevotella",17,1,17,0.111,1,"ns",182.083524,2,4
"54","Lactobacillus","Abundance","Lactobacillus","Romboutsia",17,4,68,0.000334,0.041082,"*",194.401536,2,5
"55","Lactobacillus","Abundance","Lactobacillus","Streptococcus",17,1,17,0.111,1,"ns",206.719548,2,6
"56","Lactobacillus","Abundance","Lactobacillus","Aeromonas",17,1,17,0.111,1,"ns",219.03756,2,7
"57","Lactobacillus","Abundance","Escherichia-Shigella","Prevotella",12,1,4,0.769,1,"ns",231.355572,3,4
"58","Lactobacillus","Abundance","Escherichia-Shigella","Romboutsia",12,4,14,0.262,1,"ns",243.673584,3,5
"59","Lactobacillus","Abundance","Escherichia-Shigella","Streptococcus",12,1,3,0.615,1,"ns",255.991596,3,6
"60","Lactobacillus","Abundance","Escherichia-Shigella","Aeromonas",12,1,8,0.769,1,"ns",268.309608,3,7
"61","Lactobacillus","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",280.62762,4,5
