"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Lactobacillus",22,17,364,5.45e-09,4.905e-07,"****",109.58016,1,2
"2","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",22,3,66,0.00087,0.0783,"ns",122.124617142857,1,3
"3","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Prevotella",22,1,22,0.087,1,"ns",134.669074285714,1,4
"4","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Romboutsia",22,4,88,0.000134,0.01206,"*",147.213531428571,1,5
"5","Clostridium sensu stricto 1","Abundance","Clostridium sensu stricto 1","Streptococcus",22,1,22,0.087,1,"ns",159.757988571429,1,6
"6","Clostridium sensu stricto 1","Abundance","Lactobacillus","Escherichia-Shigella",17,3,21,0.689,1,"ns",172.302445714286,2,3
"7","Clostridium sensu stricto 1","Abundance","Lactobacillus","Prevotella",17,1,15,0.333,1,"ns",184.846902857143,2,4
"8","Clostridium sensu stricto 1","Abundance","Lactobacillus","Romboutsia",17,4,22,0.317,1,"ns",197.39136,2,5
"9","Clostridium sensu stricto 1","Abundance","Lactobacillus","Streptococcus",17,1,9,1,1,"ns",209.935817142857,2,6
"10","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Prevotella",3,1,3,0.5,1,"ns",222.480274285714,3,4
"11","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Romboutsia",3,4,5,0.857,1,"ns",235.024731428571,3,5
"12","Clostridium sensu stricto 1","Abundance","Escherichia-Shigella","Streptococcus",3,1,3,0.5,1,"ns",247.569188571429,3,6
"13","Clostridium sensu stricto 1","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",260.113645714286,4,5
"14","Clostridium sensu stricto 1","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",272.658102857143,4,6
"15","Clostridium sensu stricto 1","Abundance","Romboutsia","Streptococcus",4,1,3,0.8,1,"ns",285.20256,5,6
"16","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Lactobacillus",22,17,158,0.424,1,"ns",48.02616,1,2
"17","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",22,3,0,0.00087,0.0783,"ns",60.5706171428571,1,3
"18","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Prevotella",22,1,17,0.522,1,"ns",73.1150742857143,1,4
"19","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Romboutsia",22,4,78,0.013,1,"ns",85.6595314285714,1,5
"20","Escherichia-Shigella","Abundance","Clostridium sensu stricto 1","Streptococcus",22,1,5,0.522,1,"ns",98.2039885714286,1,6
"21","Escherichia-Shigella","Abundance","Lactobacillus","Escherichia-Shigella",17,3,0,0.002,0.18,"ns",110.748445714286,2,3
"22","Escherichia-Shigella","Abundance","Lactobacillus","Prevotella",17,1,13,0.556,1,"ns",123.292902857143,2,4
"23","Escherichia-Shigella","Abundance","Lactobacillus","Romboutsia",17,4,56,0.052,1,"ns",135.83736,2,5
"24","Escherichia-Shigella","Abundance","Lactobacillus","Streptococcus",17,1,9,1,1,"ns",148.381817142857,2,6
"25","Escherichia-Shigella","Abundance","Escherichia-Shigella","Prevotella",3,1,3,0.5,1,"ns",160.926274285714,3,4
"26","Escherichia-Shigella","Abundance","Escherichia-Shigella","Romboutsia",3,4,12,0.057,1,"ns",173.470731428571,3,5
"27","Escherichia-Shigella","Abundance","Escherichia-Shigella","Streptococcus",3,1,3,0.5,1,"ns",186.015188571429,3,6
"28","Escherichia-Shigella","Abundance","Prevotella","Romboutsia",1,4,3,0.8,1,"ns",198.559645714286,4,5
"29","Escherichia-Shigella","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",211.104102857143,4,6
"30","Escherichia-Shigella","Abundance","Romboutsia","Streptococcus",4,1,0,0.4,1,"ns",223.64856,5,6
"31","Lactobacillus","Abundance","Clostridium sensu stricto 1","Lactobacillus",22,17,20,1.06e-07,9.54e-06,"****",95.83416,1,2
"32","Lactobacillus","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",22,3,21,0.353,1,"ns",108.378617142857,1,3
"33","Lactobacillus","Abundance","Clostridium sensu stricto 1","Prevotella",22,1,20,0.261,1,"ns",120.923074285714,1,4
"34","Lactobacillus","Abundance","Clostridium sensu stricto 1","Romboutsia",22,4,72,0.048,1,"ns",133.467531428571,1,5
"35","Lactobacillus","Abundance","Clostridium sensu stricto 1","Streptococcus",22,1,13,0.87,1,"ns",146.011988571429,1,6
"36","Lactobacillus","Abundance","Lactobacillus","Escherichia-Shigella",17,3,47,0.019,1,"ns",158.556445714286,2,3
"37","Lactobacillus","Abundance","Lactobacillus","Prevotella",17,1,17,0.111,1,"ns",171.100902857143,2,4
"38","Lactobacillus","Abundance","Lactobacillus","Romboutsia",17,4,68,0.000334,0.03006,"*",183.64536,2,5
"39","Lactobacillus","Abundance","Lactobacillus","Streptococcus",17,1,17,0.111,1,"ns",196.189817142857,2,6
"40","Lactobacillus","Abundance","Escherichia-Shigella","Prevotella",3,1,3,0.5,1,"ns",208.734274285714,3,4
"41","Lactobacillus","Abundance","Escherichia-Shigella","Romboutsia",3,4,12,0.057,1,"ns",221.278731428571,3,5
