"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","v.PCoA1","Duodenum","Jejunum",9,9,30,0.387,0.831,"ns",0.66164,1,2
"2","v.PCoA1","Duodenum","Ileum",9,8,12,0.021,0.103,"ns",0.767325714285714,1,3
"3","v.PCoA1","Duodenum","Cecum",9,10,85,0.000411,0.004,"**",0.873011428571428,1,4
"4","v.PCoA1","Duodenum","Colon",9,10,88,8.66e-05,0.000953,"***",0.978697142857143,1,5
"5","v.PCoA1","Duodenum","Ascaris",9,47,61,0.000368,0.004,"**",1.08438285714286,1,6
"6","v.PCoA1","Jejunum","Ileum",9,8,24,0.277,0.831,"ns",1.19006857142857,2,3
"7","v.PCoA1","Jejunum","Cecum",9,10,90,2.17e-05,0.000282,"***",1.29575428571429,2,4
"8","v.PCoA1","Jejunum","Colon",9,10,90,2.17e-05,0.000282,"***",1.40144,2,5
"9","v.PCoA1","Jejunum","Ascaris",9,47,87,0.004,0.026,"*",1.50712571428571,2,6
"10","v.PCoA1","Ileum","Cecum",8,10,74,0.001,0.01,"**",1.61281142857143,3,4
"11","v.PCoA1","Ileum","Colon",8,10,75,0.000868,0.007,"**",1.71849714285714,3,5
"12","v.PCoA1","Ileum","Ascaris",8,47,108,0.057,0.227,"ns",1.82418285714286,3,6
"13","v.PCoA1","Cecum","Colon",10,10,64,0.315,0.831,"ns",1.92986857142857,4,5
"14","v.PCoA1","Cecum","Ascaris",10,47,8,3.1e-09,4.34e-08,"****",2.03555428571429,4,6
"15","v.PCoA1","Colon","Ascaris",10,47,6,1.39e-09,2.08e-08,"****",2.14124,5,6
