"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV46",3972.4664803534,0.607109917848006,2.71791325643978,0.223373544541765,0.823244792572884,0.982149461708405,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV51",195.596695043274,-28.4311749495471,2.92387493253804,-9.72379995914112,2.38703326276546e-22,1.09007852332956e-20,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"Low"
"ASV151",604.556897209756,-1.42393040395573,2.89137794432531,-0.492474671721964,0.622383822961204,0.982149461708405,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV76",98.9467918958181,-2.11140833093455,2.89221945819496,-0.730030470181639,0.465371559763542,0.949897215106751,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV4",54290.3834655963,0.49671768531668,0.455923325033963,1.08947636157829,0.275943873421177,0.789079867910986,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella sp.","Escherichia-Shigella",NA,"NS"
"ASV57",3164.19476446001,-1.38380010257104,2.57282967427259,-0.537851423438002,0.590679626953121,0.982149461708405,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus delbrueckii","Lactobacillus","delbrueckii","NS"
"ASV11",2642.75404513624,1.21983829868552,1.44006636310132,0.847070891968119,0.396955608388008,0.907378261383934,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV184",84.1460064581224,-2.25851325390043,2.89246529093046,-0.780826397807492,0.434904605903183,0.945744936646604,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV38",482.843823061108,1.33226976819185,2.00204438500317,0.665454661330964,0.50575973319968,0.968963830066658,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio sp.","Anaerovibrio",NA,"NS"
"ASV124",59.4011474600818,26.1024425015768,2.92012341262941,8.93881484210046,3.93366315387886e-19,6.35015356528266e-18,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia sp.","Roseburia",NA,"High"
"ASV178",184.320490697365,0.183592530253986,2.52963976273823,0.0725765513960985,0.942143086775621,0.982149461708405,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"NS"
"ASV5",22293.0913093029,-1.16195833669138,1.06036831971812,-1.09580634868483,0.273163529577537,0.789079867910986,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV63",227.043706193398,2.13707739130653,2.52523568971698,0.846288289053145,0.397391939292234,0.907378261383934,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum sp.","Subdoligranulum",NA,"NS"
"ASV59",427.621512227166,0.59596104107056,2.47867581582442,0.240435250655133,0.809992853466614,0.982149461708405,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
