"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV750",11.1263634640403,-5.42354204209921,3.53601038356054,-1.53380263454941,0.125078214674134,0.174520126757365,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV46",4416.10691181531,0.217439929216965,3.33177016270414,0.0652625837313116,0.9479649326636,0.958757702295444,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3784",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema sp.","Treponema",NA,"NS"
"ASV3436",2.53972296745311,-3.28018621738949,3.54342485826048,-0.925710675010553,0.354596358709491,0.415384305916832,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV3783",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV2242",4.37766438022084,6.87588695984895,3.41139627195408,2.01556383712361,0.0438456044508955,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV81",119.810103038668,-22.8982860195155,3.53402328517508,-6.47938176173648,9.20992064861598e-11,5.84391393537181e-10,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"Low"
"ASV1217",10.8778327023669,23.2544244919679,3.40484761208286,6.82979890478636,8.5033745956586e-12,8.55150690469062e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus sp.","Ruminococcus",NA,"High"
"ASV4039",6.19490485091359,7.37302692195526,3.40820156359216,2.16331891890346,0.0305166589547334,0.0729389202819413,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV1996",6.5001683221461,7.44554037390256,3.40782068860597,2.18483924309653,0.0289006355693574,0.0726605601814504,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV6424",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV1276",8.6663092115851,22.94881803994,3.40597800077132,6.73780571534606,1.60796371093337e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"High"
"ASV51",6491.69148359684,2.20478169461825,2.96109139127294,0.744584142561854,0.456523157153783,0.521042489856459,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV430",58.6120023618618,1.53781415980389,3.334294112886,0.461211311221982,0.64464700722599,0.702652054910947,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV879",25.0211424164043,-20.7747495662196,3.53479236547853,-5.8772192022111,4.17215585551231e-09,2.22375907098806e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"Low"
"ASV1270",14.3306524871808,8.5840892611783,3.40378504891383,2.52192460388107,0.0116714721416001,0.0398775298171336,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV4203",4.37766438022084,6.87588695984895,3.41139627195408,2.01556383712361,0.0438456044508955,0.0794887999058751,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"NS"
"ASV151",335.092600902502,-24.2953050725935,3.53389293419921,-6.87494090086203,6.20155635480324e-12,7.03282880236198e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"Low"
"ASV1927",8.6663092115851,22.94881803994,3.40597800077132,6.73780571534606,1.60796371093337e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"High"
"ASV853",29.1858033168295,9.61065519874696,3.13376815667921,3.06680479162542,0.00216360102937271,0.00953057312938558,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV2630",8.75532876044168,22.962200544569,3.40591861290104,6.7418523911852,1.56379913968559e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV953",14.3306524871808,8.5840892611783,3.40378504891383,2.52192460388107,0.0116714721416001,0.0398775298171336,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV2453",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV1024",9.25023407652389,2.87323009977983,3.34875522749486,0.857999436981614,0.390892774316904,0.454903599805479,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV1724",4.83286070708571,-4.22056647551897,3.53884785247574,-1.19263857940835,0.233010949813556,0.296407723748509,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia sp.","Pseudoscardovia",NA,"NS"
"ASV76",36.8034367482008,-21.2917376287604,3.53447985823023,-6.02400876020876,1.70149150557552e-09,9.25403033134441e-09,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"Low"
"ASV2023",2.53972296745311,-3.28018621738949,3.54342485826048,-0.925710675010553,0.354596358709491,0.415384305916832,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV1220",29.7127428332889,9.63670794452392,3.40204397672042,2.83262297914612,0.00461678033835092,0.01836376059956,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV1490",15.7047266366557,8.71654973807809,3.11985704343422,2.79389395627026,0.0052077552989344,0.0204098056936179,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV4",1469.55504259571,-6.79640987496736,2.06732653957968,-3.28753573508962,0.00101068361154411,0.00472538916625449,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella sp.","Escherichia-Shigella",NA,"NS"
"ASV6854",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV1145",14.9501417877493,1.91852847241184,3.34151353451094,0.574149544090546,0.565866609345488,0.627041377923379,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV1887",6.53167880395978,7.45179297562691,3.40778873255674,2.18669452845925,0.0287648313143928,0.0726605601814504,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3786",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV57",1382.31772494802,1.14682208078934,3.33183838958732,0.344200992573167,0.730695135894219,0.776821051322106,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus delbrueckii","Lactobacillus","delbrueckii","NS"
"ASV11",1979.14262817646,-1.33157484864183,2.35307779330443,-0.565886454086121,0.571470970528196,0.631937815957528,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV207",249.948158891931,-22.3957824771743,3.47844989974672,-6.43843755771932,1.20709599927187e-10,7.4811879954873e-10,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Shuttleworthia sp.","Shuttleworthia",NA,"Low"
"ASV226",22.7427278747781,1.80081335775639,3.33819952833289,0.539456477203365,0.589571920314423,0.647921306242448,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus sp.","Peptococcus",NA,"NS"
"ASV184",800.628340568857,-0.993610661696685,2.84985840183618,-0.348652642200221,0.727350101817039,0.775355208536964,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV1488",16.023735996722,4.38209614601132,3.34792427973215,1.30889941942233,0.190568423321544,0.250992744963388,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV2277",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV1889",9.19849508165957,23.0249528050134,3.40566225379244,6.76078574126764,1.37245362137841e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV38",71.8354960470505,-1.18402151745659,3.3374796186832,-0.354765167951422,0.722765525139058,0.772012073946128,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio sp.","Anaerovibrio",NA,"NS"
"ASV3508",6.5001683221461,7.44554037390256,3.40782068860597,2.18483924309653,0.0289006355693574,0.0726605601814504,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-008 sp.","UCG-008",NA,"NS"
"ASV124",61.991155929721,10.6976203622309,3.40119978456868,3.14524904146067,0.00165945500454836,0.00749567387647693,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia sp.","Roseburia",NA,"NS"
"ASV3775",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV1294",13.8814229331129,8.53910172314371,3.40389149750605,2.5086292349213,0.0121200624165356,0.0408860333418573,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3794",5.13215740552127,7.10218700891338,3.40980557485851,2.08287154589689,0.0372629338688777,0.0794887999058751,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
