"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV750",2.00638869203238,6.11163651944994,3.94348365953408,1.54980647749711,0.121187971855293,0.304594738229285,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV46",5930.03173553808,0.468773267487758,3.27448316384941,0.143159467931629,0.886164239935578,0.928273090430854,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3436",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV81",109.503150400608,2.86493863643079,3.92844601094382,0.72928038935744,0.465830165592016,0.601516851058791,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"NS"
"ASV51",2180.38446280685,2.2764162692265,3.86461838490589,0.589040376694771,0.555834188366571,0.681823271062994,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV430",12.502219556437,26.4882448684131,3.94015527044626,6.72263985815287,1.7846130128446e-11,1.97021276618044e-10,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV879",14.0552030102528,3.4330420594503,3.93080791545148,0.873368053919775,0.38246249776994,0.525172384997529,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV151",924.690068295554,2.05357881612675,3.92816538480027,0.522783186286636,0.601125141476414,0.715551960382627,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV1024",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV1724",3.04108655262099,6.71058269431312,3.9418526968042,1.70239306500561,0.0886817092073334,0.270517638394849,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia sp.","Pseudoscardovia",NA,"NS"
