"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV750",0,0,2,75.0323087493767,2,75.0323087493767,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,0.00750323087493766,3.57142857142857,0,22.2222222222222,0,0.00750323087493766
"ASV46",12,189617.256043784,4,26285.3508322036,16,215902.606875988,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,21.5902606875988,28.5714285714286,25.531914893617,44.4444444444444,18.9617256043784,2.62853508322036
"ASV3436",0,0,2,220.912686788327,2,220.912686788327,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,0.0220912686788327,3.57142857142857,0,22.2222222222222,0,0.0220912686788327
"ASV81",3,11341.8835642077,3,1325.46627784664,6,12667.3498420543,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,1.26673498420543,10.7142857142857,6.38297872340426,33.3333333333333,1.13418835642076,0.132546627784664
"ASV51",6,46168.1526245516,5,21355.9891130112,11,67524.1417375629,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA,1e+06,6.75241417375629,19.6428571428571,12.7659574468085,55.5555555555556,4.61681526245516,2.13559891130112
"ASV430",0,0,3,236.979030301718,3,236.979030301718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0236979030301718,5.35714285714286,0,33.3333333333333,0,0.0236979030301718
"ASV879",1,148.861211730263,3,314.716917359126,4,463.57812908939,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,0.046357812908939,7.14285714285714,2.12765957446809,33.3333333333333,0.0148861211730263,0.0314716917359126
"ASV151",6,22419.1610368563,3,7503.97143873352,9,29923.1324755898,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,2.99231324755898,16.0714285714286,12.7659574468085,33.3333333333333,2.24191610368563,0.750397143873352
"ASV1024",0,0,2,66.8299764280629,2,66.8299764280629,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA,1e+06,0.00668299764280629,3.57142857142857,0,22.2222222222222,0,0.00668299764280629
"ASV1724",0,0,2,122.226041248847,2,122.226041248847,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",NA,1e+06,0.0122226041248847,3.57142857142857,0,22.2222222222222,0,0.0122226041248847
"ASV76",6,22733.1038514521,3,5200.75773126514,9,27933.8615827172,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,2.79338615827172,16.0714285714286,12.7659574468085,33.3333333333333,2.27331038514521,0.520075773126514
"ASV2023",0,0,2,55.1044476067131,2,55.1044476067131,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA,1e+06,0.00551044476067131,3.57142857142857,0,22.2222222222222,0,0.00551044476067131
"ASV4",47,3596270.76089625,9,76419.279077802,56,3672690.03997405,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,1e+06,367.269003997405,100,100,100,359.627076089625,7.6419279077802
"ASV1145",0,0,2,56.9443334728505,2,56.9443334728505,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.00569443334728505,3.57142857142857,0,22.2222222222222,0,0.00569443334728505
"ASV57",13,242687.429023361,4,65835.7399142382,17,308523.168937599,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii",1e+06,30.8523168937599,30.3571428571429,27.6595744680851,44.4444444444444,24.2687429023361,6.58357399142382
"ASV219",1,227.855311876958,2,231.525035964545,3,459.380347841503,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.0459380347841503,5.35714285714286,2.12765957446809,22.2222222222222,0.0227855311876958,0.0231525035964545
"ASV11",27,271271.39337447,7,46420.3246715616,34,317691.718046032,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,31.7691718046032,60.7142857142857,57.4468085106383,77.7777777777778,27.127139337447,4.64203246715616
"ASV207",5,9072.32555601941,5,2831.79570812635,10,11904.1212641458,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Shuttleworthia",NA,1e+06,1.19041212641458,17.8571428571429,10.6382978723404,55.5555555555556,0.907232555601941,0.283179570812635
"ASV226",2,1442.6138539409,3,1828.59191959759,5,3271.20577353849,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA,1e+06,0.327120577353849,8.92857142857143,4.25531914893617,33.3333333333333,0.14426138539409,0.182859191959759
"ASV184",6,11088.517037406,5,7075.44498312639,11,18163.9620205324,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,1.81639620205324,19.6428571428571,12.7659574468085,55.5555555555556,1.1088517037406,0.707544498312639
"ASV38",17,51411.569992841,2,4750.22013679711,19,56161.7901296381,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,1e+06,5.61617901296381,33.9285714285714,36.1702127659575,22.2222222222222,5.1411569992841,0.475022013679711
"ASV124",4,27860.8946903547,0,0,4,27860.8946903547,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,1e+06,2.78608946903547,7.14285714285714,8.51063829787234,0,2.78608946903547,0
"ASV1399",0,0,2,161.643183403306,2,161.643183403306,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0161643183403306,3.57142857142857,0,22.2222222222222,0,0.0161643183403306
"ASV178",11,19430.5020927436,5,4046.3433056524,16,23476.845398396,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,2.3476845398396,28.5714285714286,23.4042553191489,55.5555555555556,1.94305020927436,0.40463433056524
"ASV5",38,1083203.44562614,9,448204.477672708,47,1531407.92329885,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA,1e+06,153.140792329885,83.9285714285714,80.8510638297872,100,108.320344562614,44.8204477672708
"ASV100",1,686.785440148669,5,2641.14821749569,6,3327.93365764436,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.332793365764436,10.7142857142857,2.12765957446809,55.5555555555556,0.0686785440148669,0.264114821749569
"ASV63",11,22641.5403974317,7,5760.83743493554,18,28402.3778323672,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA,1e+06,2.84023778323672,32.1428571428571,23.4042553191489,77.7777777777778,2.26415403974317,0.576083743493554
"ASV367",3,4250.61151065183,0,0,3,4250.61151065183,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA,1e+06,0.425061151065183,5.35714285714286,6.38297872340426,0,0.425061151065183,0
"ASV4375",0,0,2,44.7423726690042,2,44.7423726690042,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00447423726690042,3.57142857142857,0,22.2222222222222,0,0.00447423726690042
"ASV59",12,54418.9553202618,4,8233.47594712477,16,62652.4312673865,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,6.26524312673865,28.5714285714286,25.531914893617,44.4444444444444,5.44189553202617,0.823347594712476
"ASV9",32,1346024.64932126,9,285527.512119115,41,1631552.16144038,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","sanguinis",1e+06,163.155216144038,73.2142857142857,68.0851063829787,100,134.602464932126,28.5527512119115
"ASV19",20,46212.6554601767,4,7857.99995745135,24,54070.655417628,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae UCG-001",NA,1e+06,5.4070655417628,42.8571428571429,42.5531914893617,44.4444444444444,4.62126554601767,0.785799995745135
"ASV1201",0,0,3,88.0651203604382,3,88.0651203604382,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora",NA,1e+06,0.00880651203604382,5.35714285714286,0,33.3333333333333,0,0.00880651203604382
"ASV24",15,78517.3510957197,5,30688.7447106792,20,109206.095806399,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,10.9206095806399,35.7142857142857,31.9148936170213,55.5555555555556,7.85173510957197,3.06887447106792
